Date,Days_Operating_in a Week,Failed_Gadgets,Gadgets_in_Production
1/1/2018,5,27,109890
1/8/2018,5,157,109890
1/15/2018,5,63,109890
1/22/2018,5,66,109890
1/29/2018,5,63,110495
2/5/2018,5,72,110495
2/12/2018,5,66,110495
2/19/2018,4,43,110495
2/26/2018,5,59,112306
3/5/2018,5,72,112306
3/12/2018,5,57,112306
3/19/2018,5,60,112306
3/26/2018,5,75,119932
4/2/2018,5,74,119932
4/9/2018,5,68,119932
4/16/2018,5,89,119932
4/23/2018,5,62,119932
4/30/2018,5,67,119932
5/7/2018,5,75,114136
5/14/2018,5,83,114136
5/21/2018,5,82,114136
5/28/2018,4,50,115369
6/4/2018,5,58,115369
6/11/2018,5,60,115369
6/18/2018,5,86,115369
6/25/2018,5,77,115369
7/2/2018,4,59,110657
7/9/2018,5,72,110657
7/16/2018,5,61,110657
7/23/2018,5,66,110657
7/30/2018,5,86,110657
8/6/2018,5,58,77191
8/13/2018,5,68,77191
8/20/2018,5,58,77191
8/27/2018,5,72,77191
9/3/2018,4,49,74506
9/10/2018,5,72,74506
9/17/2018,5,57,74506
9/24/2018,5,92,74506
10/1/2018,5,74,100491
10/8/2018,5,66,100491
10/15/2018,5,77,100491
10/22/2018,5,73,100491
10/29/2018,5,58,108165
11/5/2018,5,79,108165
11/12/2018,5,69,108165
11/19/2018,3,38,108165
11/26/2018,5,70,116031
12/3/2018,5,73,116031
12/10/2018,5,49,116031
12/17/2018,5,73,116031
12/24/2018,3,66,116031
12/31/2018,5,78,156719
1/7/2019,5,95,156719
1/14/2019,5,95,156719
1/21/2019,5,98,156719
1/28/2019,5,85,167528
2/4/2019,5,88,167528
2/11/2019,5,91,167528
2/18/2019,4,100,167528
2/25/2019,5,86,167528
3/4/2019,5,83,157346
3/11/2019,5,91,157346
3/18/2019,5,96,157346
3/25/2019,5,79,157346
4/1/2019,5,93,165135
4/8/2019,5,87,165135
4/15/2019,5,85,165135
4/22/2019,5,82,165135
4/29/2019,5,95,165135
5/6/2019,5,118,163537
5/13/2019,5,106,163537
5/20/2019,5,98,163537
5/27/2019,4,75,165492
6/3/2019,5,90,165492
6/10/2019,5,105,165492
6/17/2019,5,89,165492
6/24/2019,5,91,165492
7/1/2019,4,86,202697
7/8/2019,5,95,202697
7/15/2019,5,84,202697
7/22/2019,5,115,202697
7/29/2019,5,102,241793
8/5/2019,5,116,241793
8/12/2019,5,78,241793
8/19/2019,5,112,241793
8/26/2019,5,103,241793
9/2/2019,4,79,197595
9/9/2019,5,100,197595
9/16/2019,5,118,197595
9/23/2019,5,102,197595
9/30/2019,5,109,197595
10/7/2019,5,97,192365
10/14/2019,5,87,192365
10/21/2019,5,97,192365
10/28/2019,5,83,192365
11/4/2019,5,91,190682
11/11/2019,5,82,190682
11/18/2019,5,81,190682
11/25/2019,3,60,195454
12/2/2019,5,92,195454
12/9/2019,5,96,195454
12/16/2019,5,93,195454
12/23/2019,3,60,195454
12/30/2019,5,93,195454
1/6/2020,5,123,173614
1/13/2020,5,112,173614
1/20/2020,4,104,173614
1/27/2020,5,139,178527
2/3/2020,5,133,178527
2/10/2020,5,116,178527
2/17/2020,4,96,178527
2/24/2020,5,138,178527
3/2/2020,5,121,171617
3/9/2020,5,104,171617
3/16/2020,5,110,171617
3/23/2020,5,111,171617
3/30/2020,5,86,173119
4/6/2020,5,90,173119
4/13/2020,5,88,173119
4/20/2020,5,64,173119
4/27/2020,5,63,179828
